amount,hour,is_new_recipient,recipient_age_days,recipient_txn_count,recipient_report_count,user_avg_payment,amount_deviation,txn_velocity_1h,urgency_score,secrecy_score,historical_relationship,is_odd_hour,is_fraud
6759.73,11,0,122,62,0,2455.64,2.753,0,4.9,11.5,5,0,0
1602.91,15,1,67,6,2,2079.54,0.771,0,1.6,5.7,0,0,1
820.47,7,1,110,8,2,3186.82,0.257,0,7.8,4.9,0,0,1
1253.83,21,1,82,85,0,2001.2,0.627,1,49.2,11.8,0,0,0
3694.0,3,1,288,40,0,4220.97,0.875,2,42.8,24.9,0,1,0
1344.62,15,0,370,24,0,3072.11,0.438,1,19.2,11.0,15,0,0
3801.23,13,1,67,5,2,1986.59,1.913,4,48.9,82.9,0,0,1
11124.29,19,1,67,3,1,3079.63,3.612,2,70.9,70.4,0,0,1
786.27,3,0,643,85,1,2846.64,0.276,1,43.9,4.3,21,1,0
2033.83,15,0,707,42,0,1728.82,1.176,3,2.9,3.2,14,0,0
2082.03,9,0,353,23,0,3260.37,0.639,0,13.0,4.7,3,0,0
751.58,2,1,154,36,0,940.44,0.799,0,20.2,16.5,0,1,0
122.85,15,0,445,46,0,3210.54,0.038,1,20.6,8.2,27,0,0
953.18,15,1,99,29,0,2521.78,0.378,0,5.9,9.4,0,0,0
850.97,3,0,408,128,0,3894.61,0.219,1,19.8,28.3,29,1,0
848.73,20,0,713,79,0,1354.11,0.627,1,35.7,0.7,31,0,0
1710.49,18,0,757,46,0,1932.63,0.885,0,14.8,1.1,32,0,0
1821.09,9,0,875,33,0,2307.3,0.789,1,47.1,8.0,25,0,0
20000.0,17,1,44,14,3,1499.47,13.338,4,33.4,79.1,0,0,1
2899.89,15,0,624,54,0,3031.0,0.957,0,5.5,3.4,25,0,0
644.41,7,0,725,73,0,2462.64,0.262,0,3.9,23.4,2,0,0
1837.24,17,0,697,59,0,4030.81,0.456,2,7.4,13.5,14,0,0
631.76,5,0,407,45,0,2372.7,0.266,1,32.2,2.6,34,1,1
14467.67,13,0,696,84,0,1608.57,8.994,1,21.1,5.8,49,0,0
3615.38,18,0,581,91,0,2978.39,1.214,1,4.0,43.2,7,0,0
2414.68,22,0,495,157,1,1647.3,1.466,1,24.5,9.4,14,0,0
1247.27,18,1,80,17,0,2170.33,0.575,0,1.8,14.7,0,0,0
1515.72,13,1,393,147,1,680.94,2.226,0,26.1,12.6,0,0,0
4494.62,12,0,559,106,0,4461.76,1.007,0,24.6,10.0,31,0,0
5493.2,18,0,279,67,0,575.09,9.552,1,28.3,3.8,14,0,0
1673.1,4,1,59,0,1,3655.44,0.458,0,79.6,92.8,0,1,1
7518.05,8,0,308,51,0,2344.26,3.207,0,34.2,14.6,38,0,0
4168.71,17,1,137,26,2,2643.27,1.577,3,87.2,35.8,0,0,1
764.29,13,0,296,69,0,2298.72,0.332,1,8.4,7.4,33,0,0
480.87,23,0,548,84,0,2023.69,0.238,0,4.6,8.3,29,1,0
983.9,9,0,426,31,0,2648.99,0.371,0,12.4,14.1,26,0,0
2591.78,7,0,319,28,0,3397.94,0.763,1,4.2,2.6,20,0,1
2936.69,22,0,45,62,0,300.0,9.789,1,22.6,48.2,27,0,0
2697.04,16,0,571,51,0,2397.66,1.125,2,32.4,1.8,27,0,0
1575.05,8,0,1124,46,0,1921.87,0.82,1,33.0,12.3,34,0,0
650.89,20,0,359,133,0,2572.81,0.253,0,29.2,40.9,39,0,0
209.99,19,0,208,14,0,2216.76,0.095,3,49.7,19.0,12,0,0
8713.6,12,0,470,102,0,1836.31,4.745,1,26.2,27.6,37,0,1
2667.18,1,1,112,53,0,2921.3,0.913,0,18.7,38.7,0,1,0
19718.58,12,0,77,20,0,3047.62,6.47,1,15.8,6.4,33,0,0
403.82,22,0,434,116,0,3710.5,0.109,0,4.8,24.5,36,0,0
838.69,23,0,582,78,0,1381.35,0.607,2,6.1,28.3,33,1,0
3253.36,16,0,335,21,0,2970.42,1.095,1,29.0,17.0,37,0,0
9086.85,10,0,997,100,0,2634.51,3.449,2,52.9,7.3,2,0,0
1694.43,20,0,498,88,0,1426.49,1.188,0,17.0,6.8,31,0,0
2803.02,15,1,172,28,0,3227.38,0.869,0,31.2,27.7,0,0,0
19440.66,0,0,917,21,0,2151.07,9.038,2,24.6,2.1,18,1,0
5860.29,10,0,673,126,0,2608.58,2.247,0,7.2,7.0,12,0,0
3077.13,12,1,13,11,0,1652.26,1.862,7,73.3,85.7,0,0,1
2038.93,15,0,341,57,0,3044.46,0.67,3,35.4,6.4,25,0,0
452.54,19,0,544,74,0,2373.62,0.191,1,23.5,10.0,21,0,0
1474.73,17,0,362,17,0,1333.78,1.106,0,3.3,32.9,22,0,0
593.11,21,1,11,12,1,2591.39,0.229,3,3.8,4.7,0,0,1
1189.5,8,1,33,36,0,2541.03,0.468,0,42.3,27.5,0,0,0
8031.62,19,1,70,62,0,3043.21,2.639,1,28.7,6.6,0,0,0
306.24,6,0,462,25,0,3451.67,0.089,1,12.4,1.3,28,0,0
12700.02,6,1,89,18,2,2473.34,5.135,3,83.1,71.9,0,0,1
2140.23,9,0,432,57,0,1830.3,1.169,0,23.2,18.2,33,0,0
19132.63,17,0,429,40,0,3161.99,6.051,1,18.4,4.1,30,0,0
2387.9,21,0,383,108,0,3106.03,0.769,1,55.0,0.3,31,0,0
471.49,21,0,475,74,0,2980.1,0.158,1,21.3,18.3,23,0,0
4283.35,7,0,406,88,0,3306.33,1.295,0,29.8,9.0,4,0,0
1850.5,4,0,637,73,0,300.0,6.168,0,15.2,1.8,18,1,0
7525.05,13,0,299,18,4,3014.98,2.496,1,62.8,19.4,2,0,1
5310.75,21,1,58,47,0,4590.85,1.157,0,1.3,29.7,0,0,0
456.31,8,0,238,85,0,2832.45,0.161,1,10.6,13.6,29,0,0
634.25,15,1,44,84,1,2434.9,0.26,0,14.9,3.3,0,0,0
8604.42,7,1,70,18,1,2403.52,3.58,1,62.0,89.2,0,0,1
10065.31,7,1,153,27,0,1696.22,5.934,0,42.9,14.9,0,0,0
7774.15,10,1,118,57,0,3270.41,2.377,1,17.5,16.7,0,0,0
899.82,4,0,463,89,0,2716.81,0.331,1,43.5,43.2,35,1,1
1670.3,20,0,965,50,0,2457.54,0.68,1,14.5,8.6,8,0,0
2475.22,8,0,642,62,0,3677.77,0.673,0,41.1,10.7,1,0,0
5961.39,1,1,49,0,1,2274.33,2.621,5,95.8,77.9,0,1,1
829.4,10,1,84,113,0,1328.97,0.624,1,29.0,1.8,0,0,0
2390.76,20,0,350,33,0,1701.87,1.405,0,12.3,13.8,38,0,0
1172.22,16,0,336,14,0,2896.32,0.405,2,19.7,3.1,23,0,0
619.91,15,0,832,55,1,3128.13,0.198,0,25.5,4.6,19,0,0
1489.17,10,0,488,74,0,2865.68,0.52,1,62.5,0.5,34,0,0
555.3,7,0,582,131,0,3363.97,0.165,0,12.0,15.9,37,0,0
3082.2,7,0,308,30,0,3078.46,1.001,1,6.7,2.6,22,0,0
1054.33,5,1,19,23,2,2111.05,0.499,4,3.5,10.0,0,1,1
1164.21,4,0,843,37,0,1446.15,0.805,0,18.0,3.8,5,1,0
4555.94,16,0,379,66,0,1291.13,3.529,0,20.1,16.5,15,0,0
4101.48,14,0,717,50,1,1918.64,2.138,1,54.3,19.3,6,0,0
1858.85,7,0,648,45,0,2472.49,0.752,2,18.9,11.5,6,0,0
1500.06,10,1,264,40,1,3579.53,0.419,2,37.0,20.3,0,0,0
1251.28,15,1,202,32,0,4428.04,0.283,0,24.5,21.5,0,0,0
469.14,12,0,722,63,1,1479.17,0.317,1,32.8,4.6,32,0,0
1165.09,17,0,636,51,0,3029.77,0.385,0,14.3,2.2,5,0,0
2726.07,14,0,759,24,0,3191.53,0.854,0,10.9,2.2,1,0,0
1926.3,22,0,489,40,0,2110.22,0.913,0,15.7,27.6,17,0,0
3961.75,9,0,603,72,0,734.93,5.391,3,12.9,2.2,20,0,0
2476.32,14,0,1314,20,0,3448.56,0.718,2,27.8,5.1,9,0,0
1582.52,17,1,114,55,0,2748.05,0.576,1,50.8,13.2,0,0,0
903.48,4,0,165,124,0,3251.46,0.278,0,43.0,12.7,19,1,0
605.33,7,0,683,38,0,2696.27,0.225,0,23.5,0.8,7,0,0
695.39,0,0,574,107,0,1839.8,0.378,0,32.4,5.4,39,1,1
8143.48,0,1,270,10,1,1804.44,4.513,3,59.8,18.0,0,1,1
1155.69,4,0,306,30,0,2132.1,0.542,2,7.9,17.0,39,1,0
12406.84,19,0,411,1,3,2125.18,5.838,2,75.2,73.7,3,0,1
1539.77,8,1,114,37,0,300.0,5.133,1,19.6,23.9,0,0,0
1846.21,11,0,286,39,0,2289.78,0.806,0,33.9,8.7,21,0,0
579.54,14,0,628,58,0,300.0,1.932,1,9.1,26.0,25,0,0
1742.12,15,0,667,81,0,933.25,1.867,1,9.2,1.4,39,0,0
1653.59,12,0,420,72,0,1363.45,1.213,1,21.7,17.3,39,0,0
1643.32,8,0,307,35,1,3810.24,0.431,1,10.7,1.8,21,0,0
570.65,18,1,21,49,0,2968.98,0.192,0,27.0,15.7,0,0,0
824.15,13,1,76,3,0,3643.01,0.226,2,5.0,1.9,0,0,1
1053.9,16,0,899,76,0,3751.82,0.281,4,33.5,15.1,29,0,0
305.21,22,0,709,89,0,3859.46,0.079,0,7.2,20.9,34,0,0
352.06,0,1,35,51,0,1385.48,0.254,1,10.8,10.0,0,1,0
18536.5,14,0,748,57,0,2225.91,8.328,0,10.4,18.0,39,0,0
69.36,11,1,191,56,0,1644.3,0.042,0,30.4,11.4,0,0,0
6092.65,2,1,43,5,1,3281.23,1.857,0,94.1,50.7,0,1,1
910.57,10,1,337,89,0,1440.06,0.632,0,15.7,9.6,0,0,1
5221.8,4,1,123,1,0,2322.63,2.248,1,67.8,46.3,0,1,1
3393.92,11,0,834,36,0,2567.22,1.322,1,19.6,3.3,35,0,0
858.34,15,1,49,20,0,3003.27,0.286,0,19.8,14.2,0,0,0
2792.91,7,0,353,77,0,3004.98,0.929,0,14.9,2.7,33,0,0
534.89,12,0,173,39,0,1882.65,0.284,0,25.6,26.2,7,0,0
19939.88,15,0,660,55,0,1856.3,10.742,1,30.6,17.1,51,0,0
13560.97,23,0,62,49,0,3160.17,4.291,3,15.1,7.3,39,1,0
20000.0,15,1,114,4,3,3342.38,5.984,3,84.1,43.3,0,0,1
2329.23,9,1,87,5,2,1576.16,1.478,0,87.7,71.4,0,0,1
414.79,11,1,188,63,0,2299.41,0.18,0,4.6,8.0,0,0,0
1483.68,13,0,646,50,0,2164.31,0.686,0,6.1,3.1,15,0,0
15951.36,2,0,706,47,0,2370.88,6.728,0,3.5,9.5,58,1,0
1524.74,19,0,290,60,0,1682.46,0.906,0,16.7,5.5,11,0,0
454.34,20,1,158,54,0,1903.79,0.239,1,17.1,23.4,0,0,0
4432.63,12,1,9,97,0,2311.03,1.918,1,11.9,4.6,0,0,0
15776.03,9,0,170,52,0,3127.17,5.045,0,3.1,2.5,44,0,0
1050.99,10,0,725,70,0,2146.92,0.49,1,7.0,40.4,19,0,0
9761.21,23,1,6,4,2,2120.53,4.603,2,67.6,22.8,0,1,1
1519.74,18,0,744,59,0,2522.03,0.603,1,30.7,31.0,35,0,0
448.82,14,1,253,84,0,2412.11,0.186,1,33.0,9.5,0,0,0
814.88,4,0,862,87,0,2166.86,0.376,0,30.1,12.3,29,1,0
610.99,17,1,73,38,0,3024.05,0.202,0,9.4,3.6,0,0,0
18276.37,6,0,41,45,0,2449.26,7.462,1,7.8,6.1,36,0,0
1805.84,17,1,200,38,0,1510.21,1.196,1,13.0,6.6,0,0,0
20000.0,18,0,81,1,1,2175.82,9.192,4,67.4,28.4,1,0,1
365.52,20,0,448,37,0,2158.45,0.169,0,15.9,22.7,24,0,0
2484.67,0,1,80,2,1,2548.29,0.975,4,18.6,12.9,0,1,1
444.3,0,0,486,204,0,1559.33,0.285,0,23.8,9.7,36,1,0
20000.0,23,1,9,12,3,2770.95,7.218,1,31.3,41.5,0,1,1
13833.03,17,1,33,0,2,3683.3,3.756,1,86.6,70.6,0,0,1
573.1,4,0,598,38,0,1959.24,0.293,1,21.0,30.5,4,1,0
3138.38,6,0,523,59,0,2762.06,1.136,1,16.8,3.0,1,0,0
10453.9,14,0,1033,41,0,573.44,18.23,0,46.2,6.4,11,0,0
7587.82,4,1,207,6,2,1146.76,6.617,1,88.3,38.1,0,1,1
